k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
3,2,33-33-34,1.0,1.0,1.0,1.0,0.9708018661469615,0.9292334309553651
3,2,10-40-50,1.0347871394639647,1.0,1.0,1.0,1.0,0.9376072590667975
3,2,10-10-80,1.0463821892393321,1.0278105732651186,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.991591542406316,0.8308637943463902
3,2,10-40-50,1.0,1.0,1.0,1.0,0.9985440589357739,0.7923013925827903
3,2,10-10-80,1.4696364283469456,1.0,1.0,1.0,1.0,0.9959347575206342
3,2,33-33-34,1.0,1.0,1.0,1.0,0.8478022524158846,0.7868476659533661
3,2,10-40-50,1.2793654963174785,1.0,1.0,1.0,1.0,0.7530691716355004
3,2,10-10-80,1.4176662301998098,1.2285700249047342,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7542033502168496,0.7479222543942452
3,2,10-40-50,1.5238432712216214,1.0,1.0,1.0,1.0,0.6609891920551447
3,2,10-10-80,1.6218524681883415,1.40362937704269,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7642101597642252,0.7561045481219998
3,2,10-40-50,1.47703969465954,1.0,1.0,1.0,1.0,0.6737775349106864
3,2,10-10-80,1.5576110777561887,1.3697942137014887,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.9955061238517825,0.8213094165407357
3,2,10-40-50,1.0007872182202733,1.0,1.0,1.0,1.0,0.7858805459676852
3,2,10-10-80,1.5128471083799242,1.0,1.0,1.0,1.0,0.9986083234600517
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7537898012428814,0.7464382659221501
3,2,10-40-50,1.5278801208442094,1.0,1.0,1.0,1.0,0.659615096274729
3,2,10-10-80,1.6249863026190696,1.406241419024044,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7552296674928692,0.7480399371188593
3,2,10-40-50,1.5147495233044668,1.0,1.0,1.0,1.0,0.6614749855619637
3,2,10-10-80,1.6157504313189912,1.400761730374755,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.753930390493817,0.746493352906163
3,2,10-40-50,1.5268079523844826,1.0,1.0,1.0,1.0,0.6597256146916319
3,2,10-10-80,1.6240402632223911,1.4058033490645157,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.8055130913980421,0.7599224803373646
