k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7
10,5,10-10-10-10-10-10-10-10-10-10,1.2696267696255283,1.2088869987989908,1.140926640910457,1.0726489794710852,0.6855689645241828,,
10,5,5-5-5-10-10-10-10-10-15-20,2.496661602764244,2.2116382226961413,1.5337570935147906,0.9415629172860469,0.47809582147671403,,
10,5,5-5-5-5-5-5-5-15-20-30,2.555223851141631,2.481894128131687,2.366296610937614,1.4689782959302145,0.29569287296592206,,
10,5,10-10-10-10-10-10-10-10-10-10,1.285714285714287,1.2857142857142845,1.2857142857142836,1.2857142857142823,0.7142857142857126,,
10,5,5-5-5-10-10-10-10-10-15-20,2.7142857142857153,2.714285714285713,2.3897477565400527,1.2857142857142851,0.97288960609731,,
10,5,5-5-5-5-5-5-5-15-20-30,2.7142857142857215,2.7142857142857206,2.7142857142857175,2.714285714285712,2.0476190476190483,,
10,5,10-10-10-10-10-10-10-10-10-10,1.2831380624276925,1.180869522956636,0.9818050798263223,0.6405055494129684,0.5826522051774189,,
10,5,5-5-5-10-10-10-10-10-15-20,2.7038280122712925,2.481561380381771,0.6764542684275991,0.6026337770478675,0.5007303287424514,,
10,5,5-5-5-5-5-5-5-15-20-30,2.7028366715095964,2.4818897478046944,0.983718653413499,0.5397697177238903,0.40652991629031443,,
10,5,10-10-10-10-10-10-10-10-10-10,1.0602513858872893,0.9520785653582443,0.8246565087887576,0.745543815153063,0.6188972059992273,,
10,5,5-5-5-10-10-10-10-10-15-20,1.2967770960259042,1.0574027264583947,1.0143753369815531,0.8026409849820557,0.534523413933929,,
10,5,5-5-5-5-5-5-5-15-20-30,2.171741835529647,1.8997044071626326,1.2546806541272255,0.7618833651547313,0.4236851058790942,,
10,5,10-10-10-10-10-10-10-10-10-10,0.9546295787290128,0.8450501438362351,0.8033680607037168,0.7170326884291882,0.5793973626196667,,
10,5,5-5-5-10-10-10-10-10-15-20,1.242901653044177,1.0139312534252793,0.9543371722008391,0.7590673921749129,0.4280623779862145,,
10,5,5-5-5-5-5-5-5-15-20-30,1.8184261158764146,1.6264926816683816,1.4705926047689002,1.388380308793495,0.2950346449997876,,
10,5,10-10-10-10-10-10-10-10-10-10,1.2357463143019802,1.066971738848809,0.8945684514478979,0.6814446493969986,0.5150579843176616,,
10,5,5-5-5-10-10-10-10-10-15-20,2.5108783098666665,1.1097459825596918,0.844174515947774,0.6610298550178625,0.4904617625445417,,
10,5,5-5-5-5-5-5-5-15-20-30,2.5426171820780024,2.2159589429816564,1.1365772270195977,0.6928771652186829,0.45281351759969657,,
10,5,10-10-10-10-10-10-10-10-10-10,1.210891470979564,1.1254213532354957,0.7718110562865246,0.6719073584339822,0.4941122724049428,,
10,5,5-5-5-10-10-10-10-10-15-20,2.4809693213996002,1.2246802743324205,1.0404809277263978,0.6709896436196338,0.4088538903256361,,
10,5,5-5-5-5-5-5-5-15-20-30,2.4851104619718383,2.374424130990894,1.3744381376510288,1.1801579676449185,0.32506133293888384,,
10,5,10-10-10-10-10-10-10-10-10-10,1.1563440041795032,1.0719223626336936,1.016570922066619,0.8292799229392421,0.7207808166163128,,
10,5,5-5-5-10-10-10-10-10-15-20,1.9079641573747528,1.3641072221031993,1.0831790691123768,0.664153861239598,0.5500282514327813,,
