k,q,alpha,rho_1,rho_2,rho_3
5,3,10-10-10-30-40,1.5986879728350167,1.0199935588931826,0.360952629166982
5,3,20-20-20-20-20,0.7681686163883299,0.7442817192273974,0.5527678035069348
5,3,10-20-20-20-30,0.7728914610388344,0.7655992348695808,0.5690460050710386
5,3,10-10-20-20-40,1.4846545333663603,0.7664170828918259,0.5646621577206945
5,3,10-10-10-30-40,1.57082716499502,1.419996006651272,0.4274374785602535
5,3,20-20-20-20-20,0.8000000000000003,0.8000000000000002,0.5000000000000004
5,3,10-20-20-20-30,1.6744562646538017,0.7999999999999994,0.5255437353461976
5,3,10-10-20-20-40,1.8000000000000027,1.5188219988750156,0.6145113344583149
5,3,10-10-10-30-40,1.800000000000002,1.8000000000000007,1.2857142857142858
5,3,20-20-20-20-20,0.6970971453695749,0.6499594620001587,0.5493648024041077
5,3,10-20-20-20-30,1.0120593700253773,0.5886326087077265,0.554462236175796
5,3,10-10-20-20-40,1.172396184088842,0.6897943947145776,0.5206539207100226
5,3,10-10-10-30-40,1.2509651121133611,1.1524182244372307,0.37059609746358624
5,3,20-20-20-20-20,0.749396351238756,0.6001919030764162,0.5328550393835483
5,3,10-20-20-20-30,0.9022221366228751,0.641723315116251,0.48355214983987893
5,3,10-10-20-20-40,1.0856575657466667,0.7666962891885193,0.4649951437430862
5,3,10-10-10-30-40,1.2589821946384157,0.9083859248351006,0.38041018839009233
5,3,20-20-20-20-20,0.7424703018659566,0.6041634076450956,0.5230677593170865
5,3,10-20-20-20-30,0.7731269086301772,0.6766684045403458,0.4881778822539641
5,3,10-10-20-20-40,1.3302065937474816,0.7998873008292898,0.4212500023975199
5,3,10-10-10-30-40,1.351670943809141,1.0693644989962225,0.35713849538426745
