eps_0,eps_1,eps_2,lambda_0,lambda_1
0.76,0.03,0.21,7.849329573885043,0.7534273183455316
0.75,0.03,0.22,7.849272062102371,0.7037582409279262
0.74,0.03,0.23,7.849220812216641,0.6589068806936611
0.73,0.03,0.24,7.849174950997522,0.6182908024271354
0.72,0.03,0.25,7.849133765075535,0.5814217904800225
0.71,0.03,0.26,7.84909666628573,0.5478878046424036
0.7,0.03,0.27,7.849063165678871,0.5173389507232429
0.69,0.03,0.28,7.849032853774913,0.4894764629952739
0.68,0.03,0.29,7.849005385379537,0.46404397229456684
0.67,0.03,0.3,7.848980467782092,0.44082052724278675
0.66,0.03,0.31,7.84895785149067,0.4196149735337631
0.65,0.03,0.32,7.848937322893259,0.4002613950554581
0.64,0.03,0.33,7.84891869839657,0.38261539251251886
0.63,0.03,0.34,7.848901819710377,0.3665510280954134
0.62,0.03,0.35,7.848886550028002,0.3519583040426646
0.61,0.03,0.36,7.848872770914418,0.3387410724371307
0.6,0.03,0.37,7.848860379757936,0.3268152959177417
0.59,0.03,0.38,7.84884928767444,0.316107596060319
0.58,0.03,0.39,7.848839417778336,0.3065540393392592
0.57,0.03,0.4,7.848830703752871,0.29809912080853174
0.56,0.03,0.41,7.848823088667298,0.29069491365557987
0.55,0.03,0.42,7.8488165239992576,0.2843003591176272
0.54,0.03,0.43,7.848810968829624,0.27888067630388225
0.53,0.03,0.44,7.8488063891839515,0.274406875538749
0.52,0.03,0.45,7.848802757499999,0.27085536215811956
0.51,0.03,0.46,7.848800052205524,0.2682076204287469
0.5,0.03,0.47,7.848798257393867,0.2664499695564846
0.49,0.03,0.48,7.848797362588284,0.26557338571103273
0.48,0.03,0.49,7.848797362588283,0.2655733857110345
0.47,0.03,0.5,7.848798257393869,0.2664499695564855
0.46,0.03,0.51,7.848800052205526,0.2682076204287478
0.45,0.03,0.52,7.8488027575,0.27085536215812045
0.44,0.03,0.53,7.848806389183949,0.27440687553875165
0.43,0.03,0.54,7.848810968829623,0.27888067630388136
0.42,0.03,0.55,7.848816523999259,0.2843003591176272
0.41,0.03,0.56,7.848823088667297,0.29069491365558076
0.4,0.03,0.57,7.848830703752867,0.29809912080853085
0.39,0.03,0.58,7.848839417778333,0.3065540393392583
0.38,0.03,0.59,7.848849287674437,0.316107596060319
0.37,0.03,0.6,7.848860379757937,0.3268152959177426
0.36,0.03,0.61,7.8488727709144195,0.3387410724371298
0.35,0.03,0.62,7.8488865500279985,0.3519583040426637
0.34,0.03,0.63,7.848901819710374,0.3665510280954116
0.33,0.03,0.64,7.8489186983965675,0.38261539251251886
0.32,0.03,0.65,7.848937322893256,0.40026139505545455
0.31,0.03,0.66,7.848957851490671,0.4196149735337622
0.3,0.03,0.67,7.84898046778209,0.440820527242785
0.29,0.03,0.68,7.849005385379538,0.4640439722945686
0.28,0.03,0.69,7.849032853774915,0.4894764629952739
0.27,0.03,0.7,7.8490631656788725,0.5173389507232438
0.26,0.03,0.71,7.84909666628573,0.5478878046424036
0.25,0.03,0.72,7.849133765075535,0.5814217904800216
0.24,0.03,0.73,7.849174950997519,0.6182908024271327
0.23,0.03,0.74,7.849220812216642,0.6589068806936611
0.22,0.03,0.75,7.849272062102376,0.703758240927927
0.21,0.03,0.76,7.8493295738850435,0.7534273183455324
0.2,0.03,0.77,7.849394427545425,0.8086142304632338
0.19,0.03,0.78,7.849467974285359,0.8701676532450122
0.18,0.03,0.79,7.84955192677706,0.9391259916476891
0.17,0.03,0.8,7.849648488069748,1.0167730805577024
0.16,0.03,0.81,7.849760539950194,1.104714768691787
0.15,0.03,0.82,7.849891925405287,1.2049861233752024
0.14,0.03,0.83,7.850047885005146,1.3202045533195728
0.13,0.03,0.84,7.850235754821162,1.4537935492081262
0.12,0.03,0.85,7.850466129013969,1.610318184711514
0.11,0.03,0.86,7.850754893022767,1.79600338745644
0.1,0.03,0.87,7.851126996285468,2.0195626588869544
0.09,0.03,0.88,7.8516239891559625,2.293578031046044
0.08,0.03,0.89,7.852320578018729,2.6369116317190766
0.07,0.03,0.9,7.853365916147826,3.0791737663918406
0.06,0.03,0.91,7.8551069992541365,3.6696182754710733
